"y_on_time_b","on_time_a","planned_dur_a","planned_dur_b","planned_layover_sec","ampeak_a","pmpeak_a","route_pair"
1,1,1560,1440,120,0,0,"428_428"
1,1,1440,1560,480,0,0,"428_428"
1,1,1560,1380,120,0,0,"428_428"
1,1,1380,1140,360,0,0,"428_71"
1,1,2400,1680,660,1,0,"160_42"
1,1,1620,1740,840,1,0,"461_461"
1,1,1740,1620,420,1,0,"461_461"
1,1,1620,1620,300,1,0,"461_461"
1,1,1620,1740,480,1,0,"461_461"
1,1,1620,1800,420,0,1,"461_461"
1,1,2640,3180,120,1,0,"462_462"
1,1,1500,2640,600,0,0,"461_462"
1,1,2640,2760,120,1,0,"462_462"
1,1,2760,2940,420,1,0,"462_462"
1,1,2940,2700,120,1,0,"462_462"
1,1,2100,2880,0,0,0,"61_61"
1,1,2820,2640,120,1,0,"462_462"
0,1,2940,3120,120,1,0,"462_462"
0,1,2820,2880,120,0,0,"462_462"
0,1,3180,2880,120,0,1,"462_462"
1,1,3060,2640,120,0,1,"462_462"
1,1,1380,1620,360,0,0,"80_80"
1,1,1620,1980,420,1,0,"80_15"
1,1,1860,1920,360,0,0,"6_6"
1,1,1920,1800,300,0,0,"6_54"
1,1,1800,1740,300,0,0,"54_54"
1,1,1740,2040,420,0,0,"54_1"
1,1,2040,1980,0,0,0,"1_1"
1,1,1980,2100,600,0,1,"1_29"
1,1,2100,1920,0,0,1,"29_29"
0,1,1920,2040,660,0,1,"29_6"
1,0,2040,960,360,0,1,"6_31"
1,1,960,900,120,0,1,"31_31"
1,1,900,2700,300,0,0,"31_160"
1,1,2700,2280,300,0,0,"160_160"
1,1,1680,1620,0,0,0,"1_1"
1,1,1620,1680,300,0,0,"1_1"
1,1,1680,1620,0,0,0,"1_1"
1,1,1620,1620,300,0,0,"1_1"
1,1,1620,1620,0,0,0,"1_1"
1,1,1620,1620,360,0,0,"1_1"
1,1,1620,1620,0,0,0,"1_1"
1,1,1620,1500,360,0,0,"1_1"
1,1,1260,1980,0,1,0,"3_3"
0,0,1620,1800,0,0,1,"3_3"
0,0,1800,1020,420,0,1,"3_74"
0,0,1020,1740,0,0,1,"74_74"
1,0,1740,1320,600,0,1,"74_3"
1,1,1320,1680,0,0,0,"3_3"
1,1,1620,1200,780,0,0,"3_3"
1,1,1200,1620,0,0,0,"3_3"
1,1,1620,1860,420,0,0,"3_15"
1,1,1860,1800,540,0,0,"15_15"
1,1,1860,1620,480,0,0,"15_60"
1,1,1620,1200,540,0,0,"6_3"
0,1,1200,1620,0,0,0,"3_3"
1,0,1620,1200,780,0,0,"3_3"
0,1,1200,1620,0,0,0,"3_3"
0,0,1620,1860,420,0,0,"3_15"
1,1,1860,2280,0,1,0,"20_20"
1,1,2280,3840,420,1,0,"20_4"
1,1,3840,1560,480,1,0,"4_38"
1,1,1560,780,600,0,0,"38_46"
0,1,780,1320,0,0,0,"46_46"
1,1,3360,2220,360,1,0,"4_32"
1,1,2220,2640,300,1,0,"32_32"
1,1,1560,1680,480,0,0,"38_47"
1,1,1680,1620,300,0,0,"47_47"
1,1,1260,1500,420,0,0,"49_42"
1,1,1500,1500,420,0,0,"42_42"
0,1,3540,1500,480,1,0,"4_80"
1,0,1500,1620,120,1,0,"80_80"
1,1,1620,1740,360,1,0,"80_54"
1,1,1740,780,780,0,0,"54_49"
0,1,780,1200,0,0,0,"49_49"
1,0,1200,1800,540,0,0,"49_43"
1,1,1800,1860,600,0,0,"43_41"
1,1,3540,3840,420,1,0,"4_4"
1,1,3840,3480,840,1,0,"4_4"
1,1,3480,1620,480,1,0,"4_13"
1,1,1620,1560,300,0,0,"13_5"
1,1,1560,1980,0,0,0,"5_5"
1,1,2460,2460,0,1,0,"132_132"
1,1,2460,1920,300,1,0,"132_132"
1,1,1920,2040,120,1,0,"132_132"
1,1,2040,3480,300,1,0,"132_4"
1,1,3480,1920,840,0,0,"4_76"
1,1,1920,1560,0,0,0,"76_76"
1,1,3660,1920,720,0,0,"4_132"
1,1,1920,1980,120,0,0,"132_132"
1,1,1980,3480,780,0,0,"132_4"
1,1,3480,3900,540,0,0,"4_4"
1,1,3900,1680,300,0,0,"4_47"
1,1,1680,1920,600,0,1,"47_47"
1,1,1920,1740,420,0,1,"47_47"
1,1,1740,1860,420,0,1,"47_47"
1,1,1860,1620,360,1,0,"60_42"
1,1,1620,1680,120,1,0,"42_42"
1,1,1680,1920,660,1,0,"42_13"
1,1,1920,3660,360,0,0,"13_4"
1,1,1740,1920,120,0,0,"32_32"
1,1,3480,3060,480,0,0,"4_21"
1,1,3060,3000,120,0,0,"21_21"
1,1,3000,3900,480,0,0,"21_4"
1,1,2520,3600,420,0,1,"14_88"
1,1,1620,1680,420,0,0,"13_13"
1,1,1680,3900,720,0,0,"13_4"
1,1,1800,1740,300,0,0,"54_54"
1,1,3900,1740,720,0,0,"4_32"
1,1,1740,1980,120,0,0,"32_32"
1,1,1980,3660,780,0,0,"32_4"
1,1,4260,2220,420,0,1,"4_132"
1,1,2220,1980,120,0,1,"132_132"
1,1,1824,2340,480,0,0,"132_32"
1,1,2340,2460,240,0,1,"32_32"
1,1,2460,2340,660,0,1,"32_192"
1,1,2220,1440,480,0,1,"98_80"
1,1,1440,1440,0,0,0,"80_80"
1,1,1440,1440,720,0,0,"80_80"
1,1,1440,1440,0,0,0,"80_80"
1,1,1440,3420,540,0,0,"80_4"
1,1,3420,3000,840,0,0,"4_4"
1,1,3000,1500,300,0,0,"4_13"
1,1,4380,2220,300,0,1,"4_132"
1,1,2220,1980,120,0,1,"132_132"
1,1,1980,3720,300,0,1,"32_4"
1,1,3720,3360,660,0,1,"4_8"
1,1,3720,1860,420,0,1,"4_13"
1,1,1860,1740,720,0,1,"13_13"
1,1,1740,2040,540,0,1,"13_15"
1,1,2040,1920,360,0,0,"15_15"
1,1,1920,1620,360,0,0,"15_13"
1,1,1620,1620,360,0,0,"13_13"
0,1,1620,1620,300,0,0,"13_6"
1,0,1620,1620,420,0,0,"6_47"
1,1,1620,1500,300,0,0,"47_47"
1,1,1500,1500,360,0,0,"47_6"
1,1,1620,2040,0,1,0,"50_50"
1,1,2100,1560,480,1,0,"5_5"
1,1,1560,1980,0,0,0,"5_5"
1,1,1980,540,840,0,0,"5_44"
1,1,540,1140,0,0,0,"44_44"
1,1,1140,840,360,0,0,"44_31"
1,1,2160,1020,840,1,0,"5_31"
1,1,1020,960,120,1,0,"31_31"
1,1,1680,1500,300,1,0,"42_5"
0,1,1500,2160,0,1,0,"5_5"
0,0,2160,1560,480,1,0,"5_5"
0,0,1560,1980,0,1,0,"5_5"
1,1,1740,1800,300,0,0,"54_29"
1,1,1800,1740,0,0,0,"29_29"
1,1,1500,2160,0,1,0,"5_5"
1,1,2160,1680,300,1,0,"5_38"
1,1,2580,1620,600,1,0,"14_13"
1,1,1620,1560,300,0,0,"13_5"
1,1,1560,1980,0,0,0,"5_5"
0,1,2160,1560,480,1,0,"5_5"
0,0,1560,2100,0,1,0,"5_5"
1,1,1680,1620,300,0,0,"47_47"
0,1,1620,1560,420,0,0,"47_5"
1,0,1560,1980,0,0,0,"5_5"
1,1,1500,1500,420,0,0,"42_42"
1,1,1500,960,360,0,0,"42_31"
1,1,960,900,120,0,0,"31_31"
1,1,1860,1680,420,0,0,"43_47"
1,1,1680,1620,300,0,0,"47_47"
1,1,1620,1620,420,0,0,"47_5"
1,1,1620,1980,0,0,0,"5_5"
1,1,1920,1680,360,0,0,"43_38"
1,1,1680,1740,300,0,0,"38_38"
0,1,1740,1860,480,0,1,"38_5"
1,0,1860,2100,0,0,1,"5_5"
1,1,2100,1740,480,0,1,"5_38"
1,1,1740,2280,660,0,1,"38_32"
1,1,2280,2400,240,0,1,"32_32"
1,1,2100,1800,120,0,1,"60_60"
1,1,1800,1860,480,0,1,"60_5"
1,1,1860,1860,0,0,1,"5_5"
1,1,960,900,120,0,1,"31_31"
1,1,900,2040,300,0,1,"31_41"
0,1,2040,600,360,0,1,"41_44"
0,0,600,1140,0,0,1,"44_44"
0,0,1140,1740,360,0,1,"44_5"
1,0,1740,360,0,0,1,"5_5"
1,1,1500,1800,0,0,0,"5_5"
1,1,1800,1500,300,0,0,"5_5"
1,1,1500,1800,0,0,0,"5_5"
1,1,1800,1500,300,0,0,"5_5"
1,1,1500,360,0,0,0,"5_5"
1,1,2100,1860,300,1,0,"5_6"
1,1,2220,1920,420,1,0,"85_6"
1,1,1920,1860,300,1,0,"6_6"
1,1,1860,1740,780,1,0,"6_13"
1,1,1740,1680,300,1,0,"13_13"
1,1,1680,3660,600,0,0,"13_4"
1,1,1740,1920,480,1,0,"6_6"
1,1,1860,1920,720,0,0,"6_76"
1,1,1920,1560,0,0,0,"76_76"
1,1,1560,1860,420,0,0,"76_1"
1,1,1860,1800,0,0,0,"1_1"
1,1,1800,1980,660,0,0,"1_15"
1,1,1980,1740,360,0,0,"15_47"
1,1,1740,2340,480,0,1,"38_14"
1,1,2340,2160,420,0,1,"14_6"
1,1,2160,1860,540,0,1,"6_5"
1,1,1860,1860,0,0,1,"5_5"
1,1,2040,1680,0,0,0,"76_76"
1,1,1680,2040,420,0,1,"76_6"
1,1,2040,1980,480,0,1,"6_43"
1,1,1980,1800,420,0,1,"43_13"
1,1,1800,1920,540,0,1,"13_6"
1,1,3180,1920,480,1,0,"8_20"
1,1,1920,2100,0,1,0,"20_20"
0,0,3420,3480,300,1,0,"8_8"
0,0,3480,1860,420,1,0,"8_1"
0,0,1860,1860,0,1,0,"1_1"
1,0,1860,1800,360,1,0,"1_29"
1,1,1800,1740,0,0,0,"29_29"
1,1,1740,1200,480,0,0,"29_410"
1,1,1200,1740,0,0,0,"410_410"
1,1,1740,1800,420,0,0,"410_1"
1,1,1800,1800,0,0,0,"1_1"
1,1,1800,3480,420,0,0,"1_8"
0,1,3480,3240,300,0,0,"8_8"
1,1,3900,3900,360,0,0,"8_8"
1,1,3900,3420,420,0,1,"8_88"
1,1,3060,3060,420,1,0,"83_88"
1,1,3060,3120,780,0,0,"88_88"
1,1,3120,3480,720,0,0,"88_8"
0,1,3480,3240,300,0,0,"8_8"
1,1,3480,3540,300,0,0,"8_8"
0,1,3540,3840,480,0,0,"8_88"
0,0,3840,3840,0,0,1,"88_88"
0,0,3840,3420,360,0,1,"88_88"
0,0,3420,2340,480,0,1,"88_28"
0,0,2340,1920,480,0,1,"28_28"
1,0,1920,3180,480,0,0,"28_8"
1,1,3180,3000,540,0,0,"8_8"
1,1,3000,2880,480,0,0,"8_8"
1,1,1680,1740,360,1,0,"47_54"
1,0,1740,1860,360,1,0,"54_54"
1,1,1860,1800,420,1,0,"54_1"
1,1,1800,1800,0,0,0,"1_1"
1,1,1800,3420,420,0,0,"1_8"
1,1,3420,3240,300,0,0,"8_8"
1,1,1200,1620,0,1,0,"71_71"
1,1,1620,1680,420,1,0,"71_73"
1,1,1680,1860,120,1,0,"73_73"
0,1,1860,540,360,1,0,"73_554"
0,0,1500,1440,120,0,0,"428_428"
1,0,1440,1500,540,0,0,"428_428"
1,1,1500,1440,120,0,0,"428_428"
1,1,1440,1500,540,0,0,"428_428"
1,1,1500,1440,120,0,0,"428_428"
1,1,1440,3060,300,0,0,"428_21"
1,1,3060,3000,120,0,0,"21_21"
1,1,3000,1800,300,0,0,"21_16"
0,1,1800,1740,0,0,0,"16_16"
1,0,1740,2040,360,0,0,"16_16"
1,1,2040,1920,0,0,0,"16_16"
0,1,1920,1920,420,0,1,"16_73"
1,0,1920,1740,120,0,1,"73_73"
0,1,1740,1560,480,0,1,"73_19"
0,0,1560,1800,0,0,1,"19_19"
1,1,3180,3180,360,0,0,"8_8"
1,1,3180,2880,300,0,0,"8_8"
1,0,2460,2520,720,0,0,"88_88"
1,1,3000,2280,600,1,0,"88_28"
1,1,2280,2280,180,1,0,"28_28"
1,1,2280,2280,0,1,0,"28_28"
0,1,2280,3420,480,1,0,"28_8"
0,0,3420,3120,300,0,0,"8_8"
1,0,3120,3240,780,0,0,"8_88"
1,1,3240,3120,600,0,0,"88_88"
1,1,3120,3600,720,0,0,"88_8"
0,1,3720,3840,480,0,0,"8_8"
0,0,3840,3720,420,0,1,"8_8"
0,0,3720,3180,420,0,1,"8_8"
1,1,3480,2100,420,1,0,"8_28"
1,1,3480,3540,300,0,0,"8_8"
1,1,3540,3900,780,0,0,"8_8"
1,1,3900,3720,300,0,0,"8_8"
1,1,3720,3360,540,0,1,"8_8"
1,1,3360,3180,480,0,1,"8_8"
1,1,2640,2880,540,0,0,"88_88"
0,1,2460,2880,720,0,0,"88_88"
1,1,3840,3720,420,0,1,"8_8"
1,1,3720,2220,420,0,1,"8_28"
1,1,2580,1980,780,0,0,"8_8"
1,1,2220,540,420,1,0,"9_84"
0,1,540,2820,0,1,0,"84_84"
1,1,1200,2220,0,1,0,"9_9"
1,1,2160,1860,300,1,0,"5_13"
1,1,1860,1740,720,1,0,"13_13"
1,1,1620,1680,300,1,0,"13_42"
0,1,1680,1920,360,1,0,"42_13"
1,1,1680,2040,480,1,0,"47_13"
1,1,2040,1860,420,1,0,"13_29"
1,1,1860,1740,0,1,0,"29_29"
1,1,1740,1740,720,1,0,"29_6"
1,1,1740,1860,480,0,0,"6_6"
1,1,1860,1620,780,0,0,"6_13"
0,1,1620,1560,300,0,0,"13_5"
0,0,1560,1980,0,0,0,"5_5"
1,0,1860,1020,540,1,0,"13_74"
1,1,1020,1800,0,1,0,"74_74"
0,1,1800,1260,720,1,0,"74_3"
0,0,1260,1800,0,1,0,"3_3"
1,0,1800,1260,540,0,0,"3_3"
1,1,1260,1800,0,0,0,"3_3"
1,1,1800,1800,0,0,0,"1_1"
1,1,1800,1740,480,0,0,"1_73"
1,1,1740,1740,120,0,0,"73_73"
1,0,1680,1740,360,0,0,"13_13"
1,1,1740,2580,420,0,0,"13_421"
1,1,2580,2340,60,0,0,"421_421"
1,1,2340,1980,420,0,0,"421_13"
1,1,1980,1860,300,0,1,"13_13"
1,1,1860,1140,420,0,1,"13_74"
1,1,1140,1740,0,0,1,"74_74"
1,1,1740,1140,480,0,1,"74_75"
0,1,1140,1020,0,0,1,"75_75"
0,0,1020,1800,300,0,0,"75_1"
1,0,1800,1620,0,0,0,"1_1"
1,1,1620,1740,660,0,0,"1_73"
1,1,1740,1500,120,0,0,"73_73"
1,1,2760,3420,420,0,0,"8_4"
1,1,3420,1560,540,0,0,"4_32"
1,1,1560,1680,120,0,0,"32_32"
1,1,1680,1200,540,0,0,"32_4"
1,0,2220,1380,660,0,1,"13_37"
1,1,2040,2280,420,1,0,"15_14"
1,1,2280,2580,360,1,0,"14_14"
1,1,2580,2580,0,1,0,"14_14"
1,1,1920,1560,0,0,0,"76_76"
1,1,1560,1740,720,0,0,"76_6"
1,1,2220,2580,420,1,0,"14_14"
1,1,2580,2400,600,1,0,"14_14"
1,1,2400,1680,300,1,0,"14_32"
1,1,1680,1920,120,0,0,"32_32"
1,0,2880,2220,360,0,1,"14_132"
1,1,2640,2280,660,0,1,"14_14"
1,1,2280,1740,840,0,1,"14_54"
1,1,1800,2160,540,1,0,"41_15"
1,1,1620,2460,780,1,0,"38_14"
1,1,2460,1980,420,1,0,"14_15"
1,1,1980,1980,420,0,0,"15_15"
0,1,1980,2160,540,1,0,"15_15"
1,0,2160,1920,420,1,0,"15_6"
1,1,1920,1800,360,1,0,"6_43"
0,1,2160,2160,720,1,0,"5_15"
1,0,2160,2100,840,1,0,"15_15"
1,1,2100,1980,300,0,0,"15_15"
1,1,1980,540,840,0,0,"15_84"
1,1,540,2820,0,0,0,"84_84"
1,1,2820,1980,420,0,0,"84_15"
1,1,1980,2040,420,0,0,"15_15"
1,1,1980,2040,420,0,0,"15_15"
1,1,2040,2400,360,0,0,"15_14"
1,1,2400,2520,300,0,0,"14_14"
1,1,2520,2640,720,0,0,"14_14"
1,1,2640,2340,420,0,1,"14_14"
1,1,2340,1380,420,0,1,"14_3"
1,1,1980,2040,420,0,0,"15_15"
1,1,2040,2040,540,0,0,"15_6"
1,1,2040,1560,420,0,0,"6_30"
1,1,1560,1560,300,0,1,"30_30"
1,1,3840,3780,240,1,0,"123_123"
1,1,3780,1260,540,1,0,"123_71"
1,1,1260,1440,0,1,0,"71_71"
1,1,1440,1380,360,0,0,"71_19"
1,1,1380,1860,0,0,0,"19_19"
1,1,1860,1380,360,0,0,"19_19"
1,1,1380,1860,0,0,0,"19_19"
1,0,2820,1920,300,1,0,"32_132"
1,1,1920,2220,120,1,0,"132_132"
1,1,2220,1920,360,1,0,"132_132"
1,1,1920,1980,120,0,0,"132_132"
1,1,1980,3480,420,0,0,"132_4"
1,1,3480,1380,360,0,0,"4_19"
1,1,1380,1860,0,0,0,"19_19"
1,1,1860,1380,360,0,0,"19_19"
1,1,1380,1860,0,0,0,"19_19"
1,1,1860,1380,360,0,0,"19_19"
1,1,1380,1860,0,0,0,"19_19"
1,1,1860,1500,360,0,0,"19_19"
1,1,1500,1980,0,0,0,"19_19"
1,1,1980,1440,660,0,0,"19_3"
1,1,1440,1800,0,0,0,"3_3"
1,1,1800,2820,420,0,1,"3_421"
1,1,2820,2280,60,0,1,"421_421"
1,1,2280,3600,420,0,1,"421_4"
1,1,1740,1440,600,1,0,"19_19"
1,1,1440,1860,0,1,0,"19_19"
1,1,1860,1740,420,1,0,"19_13"
1,1,840,840,120,0,0,"31_31"
1,1,840,1560,540,0,0,"31_38"
1,1,1560,1620,600,0,0,"38_38"
1,1,1500,1500,420,0,0,"42_42"
1,1,1500,900,360,0,0,"42_31"
1,1,900,900,120,0,0,"31_31"
1,1,1380,1860,0,0,0,"19_19"
1,1,1860,1380,360,0,0,"19_19"
1,1,1380,1860,0,0,0,"19_19"
1,1,1860,1500,360,0,0,"19_19"
1,1,1500,1860,0,0,0,"19_19"
1,1,1860,1620,540,0,0,"19_428"
1,1,1620,1680,120,0,0,"428_428"
0,0,2940,3960,420,0,1,"84_123"
0,0,3960,3480,240,0,1,"123_123"
1,0,3480,1380,480,0,1,"123_19"
0,1,1380,1740,0,0,0,"19_19"
1,0,1740,1380,480,0,0,"19_19"
1,1,1380,1740,0,0,0,"19_19"
1,1,1740,1380,480,0,0,"19_19"
1,1,1380,1680,0,0,0,"19_19"
1,1,1680,1380,540,0,0,"19_19"
1,1,1380,1680,0,0,0,"19_19"
1,1,1680,1380,540,0,0,"19_19"
1,1,1380,1680,0,0,0,"19_19"
1,1,1680,1380,540,0,0,"19_19"
0,1,1380,1680,0,0,0,"19_19"
1,0,1680,1380,540,0,0,"19_19"
0,1,1860,2280,0,1,0,"20_20"
0,1,1740,2280,0,1,0,"20_20"
1,1,3660,1740,600,0,0,"4_20"
0,1,1740,2220,0,0,1,"20_20"
1,0,2220,1680,600,0,1,"20_20"
1,1,1680,2100,0,0,1,"20_20"
1,1,1920,1920,0,1,0,"16_16"
1,1,2880,2760,120,0,0,"21_21"
1,1,1740,1740,120,0,0,"73_73"
1,1,1680,1740,360,0,0,"13_13"
0,1,1740,1860,360,0,0,"13_6"
1,0,1860,1920,360,0,0,"6_6"
1,1,1920,3300,300,0,0,"6_21"
1,1,3300,3240,120,0,0,"21_21"
1,1,3240,3540,540,0,1,"21_21"
1,1,3060,2760,120,1,0,"21_21"
1,1,2760,900,420,0,0,"21_74"
1,1,900,1680,0,0,0,"74_74"
1,1,1680,2880,840,0,0,"74_21"
1,1,2880,2880,120,0,0,"21_21"
1,1,2880,2400,300,0,0,"21_14"
1,1,2400,2520,300,0,0,"14_14"
1,1,2520,1620,360,0,0,"14_99"
1,1,1620,3420,0,0,0,"99_99"
1,1,3420,2640,660,0,0,"99_14"
0,1,2640,2460,360,0,1,"14_32"
1,0,2460,2640,240,0,1,"32_32"
1,1,2760,3180,240,1,0,"21_21"
1,1,2760,3180,180,1,0,"21_21"
1,1,3180,3060,600,1,0,"21_21"
1,1,3060,2760,120,1,0,"21_21"
1,1,2760,2400,360,0,0,"21_14"
1,1,2400,2520,300,0,0,"14_14"
1,1,1740,1920,120,0,0,"32_32"
1,1,3480,3300,300,0,0,"4_21"
1,1,3300,3240,120,0,0,"21_21"
1,1,2700,2340,120,0,1,"421_421"
1,1,2340,3000,660,0,1,"421_21"
1,1,3000,3000,120,0,1,"21_21"
1,1,3000,1800,780,0,1,"21_1"
1,1,1800,1620,0,0,0,"1_1"
1,1,1620,2700,480,0,0,"1_21"
1,1,2700,2700,120,0,0,"21_21"
1,1,2580,1980,780,0,0,"8_8"
1,1,1980,1860,600,0,0,"15_6"
1,1,1860,1860,360,0,0,"6_6"
1,1,1860,3300,300,0,0,"6_21"
1,1,3300,3480,120,0,0,"21_21"
1,1,3480,3480,0,0,0,"21_21"
1,1,3480,3300,360,0,0,"21_21"
1,1,3300,3240,120,0,0,"21_21"
1,1,3240,3240,540,0,1,"21_21"
1,1,1200,1440,0,0,0,"71_71"
1,1,1440,1800,540,0,0,"71_54"
1,1,1800,1740,300,0,0,"54_54"
0,1,1740,1560,300,0,0,"54_20"
0,0,1560,2100,0,0,0,"20_20"
0,0,2100,3300,300,0,0,"20_21"
0,0,3300,3240,120,0,0,"21_21"
0,0,3240,3240,540,0,1,"21_21"
0,0,3240,3000,120,0,1,"21_21"
0,0,3000,3600,420,0,1,"21_4"
0,0,3600,3360,480,0,0,"4_4"
1,0,3360,2220,360,0,0,"4_28"
1,1,2220,2220,0,0,0,"28_28"
1,1,2220,1980,780,0,0,"28_28"
1,1,1500,1560,360,0,0,"54_54"
1,1,2400,1020,120,0,0,"21_21"
1,1,3180,3300,660,0,0,"88_21"
1,1,3300,3060,120,0,1,"21_21"
1,1,3060,3000,720,0,1,"21_21"
0,0,3300,3060,120,0,1,"21_21"
0,0,3060,2040,420,0,1,"21_29"
0,0,2040,1740,0,0,1,"29_29"
1,0,1740,2280,540,0,1,"29_25"
1,1,2280,2100,240,0,0,"25_25"
1,1,2100,2700,360,0,0,"25_21"
1,1,2700,2700,120,0,0,"21_21"
1,1,2700,1380,660,0,0,"21_19"
1,1,1380,300,0,0,0,"19_19"
1,1,1740,2100,540,1,0,"54_28"
1,1,2520,1560,540,1,0,"25_78"
1,1,1560,1200,120,1,0,"78_78"
1,1,1200,2100,600,1,0,"78_28"
1,1,2100,2220,300,0,0,"28_28"
1,1,2220,2100,780,0,0,"28_28"
1,1,2280,2400,300,1,0,"28_28"
1,1,2400,2100,480,1,0,"28_28"
1,1,3480,3240,300,0,0,"8_8"
1,1,3240,2400,480,0,0,"8_28"
1,1,2400,2220,720,0,0,"28_28"
1,1,2220,2580,540,0,1,"28_28"
1,1,2580,2220,480,0,1,"28_28"
1,1,2220,2340,600,0,1,"28_28"
1,1,2220,2580,720,0,0,"28_28"
0,1,2580,2220,600,0,1,"28_28"
1,0,2220,3300,600,0,1,"28_88"
1,1,1620,1920,0,1,0,"1_1"
1,1,1920,2100,420,1,0,"1_29"
1,1,2100,2040,0,1,0,"29_29"
0,1,2040,1740,420,1,0,"29_6"
1,0,1740,1860,480,0,0,"6_6"
1,1,1860,1740,360,0,0,"6_54"
1,1,1740,1740,300,0,0,"54_54"
1,1,1740,1860,300,0,0,"54_29"
1,1,1860,1740,0,0,0,"29_29"
1,0,3000,2100,480,1,0,"88_29"
0,1,2100,2040,0,1,0,"29_29"
0,0,2040,1260,480,1,0,"29_607"
1,1,2100,2040,0,1,0,"29_29"
1,1,2040,2460,660,1,0,"29_98"
0,1,1800,1380,300,1,0,"60_30"
1,0,1380,1380,540,1,0,"30_30"
1,1,1380,1380,540,1,0,"30_30"
0,1,1380,1620,720,1,0,"30_50"
0,0,1620,1860,0,0,0,"50_50"
1,0,1860,1500,780,0,0,"50_42"
1,1,1500,1500,420,0,0,"42_42"
1,1,1500,900,360,0,0,"42_31"
1,1,900,900,120,0,0,"31_31"
1,1,960,1800,300,1,0,"31_41"
1,1,900,960,120,1,0,"31_31"
1,1,960,1860,300,1,0,"31_41"
1,1,2220,2700,240,1,0,"32_32"
1,1,2700,1560,780,1,0,"32_38"
1,1,1560,1560,660,1,0,"38_38"
1,1,1560,1920,660,0,0,"38_132"
1,1,1920,1980,120,0,0,"132_132"
1,1,1980,3480,600,0,0,"132_4"
1,1,3480,1800,420,0,0,"4_54"
1,1,2280,2280,120,0,1,"132_132"
1,1,2280,2280,360,0,1,"132_32"
1,1,2280,2400,240,0,1,"32_32"
1,1,2400,1800,480,0,0,"32_32"
1,1,1800,1800,120,0,0,"32_32"
0,1,1800,1620,600,0,0,"32_38"
1,0,1620,840,420,0,0,"38_31"
0,1,840,840,120,0,0,"31_31"
1,0,840,1500,780,0,0,"31_38"
1,1,1560,1500,840,0,0,"47_5"
0,1,1500,1860,0,0,0,"5_5"
1,0,1860,1560,300,0,0,"5_38"
1,1,1560,1680,300,0,0,"38_32"
1,1,1680,1740,120,0,0,"32_32"
1,1,1740,3000,360,0,0,"32_4"
1,1,1260,1260,780,1,0,"33_37"
1,1,720,1260,0,1,0,"33_33"
1,1,1320,600,0,0,1,"33_33"
1,1,600,1800,360,0,1,"33_42"
0,1,1380,900,300,1,0,"46_34"
1,0,900,1440,0,1,0,"34_34"
1,0,900,1440,0,1,0,"34_34"
0,1,1440,900,600,1,0,"34_34"
1,0,900,1440,0,1,0,"34_34"
1,1,900,1380,420,0,1,"609_34"
1,1,540,1140,0,0,1,"44_44"
1,1,1140,1620,660,0,0,"44_50"
1,1,1620,1860,0,0,0,"50_50"
1,1,1260,780,300,1,0,"37_46"
1,1,780,1380,0,1,0,"46_46"
1,1,1560,1920,360,1,0,"38_132"
0,0,2100,1560,480,1,0,"132_38"
1,1,2460,1620,660,0,0,"160_5"
1,1,1620,1980,0,0,0,"5_5"
1,1,1980,600,780,0,0,"5_44"
1,1,600,1140,0,0,0,"44_44"
1,1,1140,1680,420,0,0,"44_38"
1,1,1680,1740,540,0,0,"38_38"
1,1,1740,1740,600,0,0,"38_38"
1,1,1740,2340,360,0,1,"38_14"
1,1,2340,2640,480,0,1,"14_14"
1,1,1740,1920,420,0,1,"38_38"
1,1,1920,1140,420,0,1,"38_37"
1,1,1560,780,480,0,0,"38_31"
1,1,780,780,120,0,0,"31_31"
1,1,1440,1560,480,0,0,"38_32"
1,1,1800,780,420,1,0,"59_31"
1,1,780,960,120,1,0,"31_31"
1,1,960,1800,300,1,0,"31_41"
1,1,1800,1860,300,1,0,"41_41"
1,1,540,1080,0,0,0,"44_44"
1,1,1080,1620,480,0,0,"44_43"
1,1,1620,1680,600,0,0,"43_41"
1,1,1680,1680,180,1,0,"42_42"
1,1,1680,1680,120,1,0,"42_42"
1,1,1800,1500,300,1,0,"43_42"
1,1,1500,1500,360,1,0,"42_42"
0,1,1500,840,360,0,0,"42_31"
1,0,840,840,120,0,0,"31_31"
1,1,840,1860,480,0,0,"31_41"
1,1,1860,1620,420,0,0,"41_50"
1,1,1620,1860,0,0,0,"50_50"
1,1,1680,1680,360,1,0,"42_42"
0,1,1680,1680,480,1,0,"42_42"
0,1,2100,1560,660,1,0,"15_5"
1,0,1560,1980,0,0,0,"5_5"
1,1,1500,1500,420,0,0,"42_42"
1,1,1500,900,360,0,0,"42_31"
1,1,900,900,120,0,0,"31_31"
0,1,900,1860,360,0,0,"31_41"
0,0,1860,780,480,0,0,"41_49"
1,0,780,1260,0,0,0,"49_49"
1,1,1260,900,540,0,0,"49_31"
1,1,900,900,120,0,0,"31_31"
1,1,900,1920,360,0,0,"31_41"
1,1,1620,1620,300,0,0,"42_42"
1,1,1620,1860,300,0,1,"42_5"
1,1,1860,360,0,0,1,"5_5"
1,1,1680,1620,300,0,0,"47_47"
1,1,1620,1740,360,0,0,"47_60"
1,1,1740,1680,120,0,0,"60_60"
1,1,1500,1500,420,0,0,"42_42"
0,1,1500,960,360,0,0,"42_31"
1,0,960,960,120,0,0,"31_31"
