"y_on_time_b","on_time_a","planned_dur_a","planned_dur_b","planned_layover_sec","ampeak_a","pmpeak_a","route_pair"
1,1,540,2820,0,0,0,"84_0_84_1"
1,1,2820,2400,360,0,0,"84_1_25_0"
1,1,2400,2280,240,0,0,"25_0_25_1"
1,1,2280,2460,480,0,0,"25_1_25_0"
1,1,2460,2760,120,0,0,"25_0_25_1"
1,1,2760,1380,540,0,1,"25_1_71_0"
0,1,1380,1620,0,0,1,"71_0_71_1"
1,0,1620,1680,420,0,1,"71_1_20_0"
1,1,1680,1980,0,0,1,"20_0_20_1"
1,1,1980,1200,600,0,1,"20_1_71_0"
0,1,1200,1440,0,0,0,"71_0_71_1"
1,1,1140,1320,0,0,0,"71_0_71_1"
1,1,1140,1320,0,0,0,"71_0_71_1"
1,1,1320,960,840,0,0,"71_1_417_0"
1,1,960,1680,0,0,0,"417_0_417_1"
1,1,960,1620,0,0,0,"417_0_417_1"
1,1,900,1620,0,0,0,"417_0_417_1"
0,1,900,480,0,0,0,"417_0_417_1"
1,1,2820,1320,660,0,0,"81_1_417_0"
1,1,1320,1740,0,1,0,"417_0_417_1"
1,1,2340,3840,420,1,0,"199_1_123_0"
1,1,3840,3780,720,1,0,"123_0_123_1"
1,1,3780,1200,540,1,0,"123_1_71_0"
1,1,1200,1440,0,0,0,"71_0_71_1"
1,1,1440,1020,600,0,0,"71_1_417_0"
1,1,1020,1920,0,0,0,"417_0_417_1"
1,1,1920,1020,660,0,0,"417_1_417_0"
1,1,1020,1860,0,0,0,"417_0_417_1"
1,1,1860,1020,720,0,0,"417_1_417_0"
1,1,1020,1920,0,0,0,"417_0_417_1"
1,1,1920,1020,660,0,0,"417_1_417_0"
1,1,1020,1920,0,0,0,"417_0_417_1"
1,1,1920,1080,600,0,0,"417_1_417_0"
1,1,1080,1920,0,0,0,"417_0_417_1"
1,1,1920,1620,300,0,0,"417_1_19_0"
1,1,1620,2040,0,0,0,"19_0_19_1"
1,1,2040,2460,420,0,1,"19_1_199_0"
1,1,1320,1920,0,1,0,"417_0_417_1"
1,1,1140,1980,0,0,1,"417_0_417_1"
1,1,1980,1200,540,0,1,"417_1_417_0"
1,1,1200,1800,0,0,1,"417_0_417_1"
1,1,1800,1080,720,0,1,"417_1_417_0"
1,1,1080,1080,0,0,1,"417_0_417_0"
1,1,1080,1800,0,0,1,"417_0_417_1"
1,1,1800,3000,540,0,1,"417_1_21_0"
1,1,1620,3240,540,0,0,"38_1_4_0"
1,0,960,1200,480,0,1,"125_1_417_0"
1,1,1200,1800,0,0,1,"417_0_417_1"
1,1,1800,2340,420,0,1,"417_1_199_0"
0,1,1320,1860,0,0,1,"410_0_410_1"
1,0,1860,1200,420,0,1,"410_1_417_0"
1,1,1200,1800,0,0,1,"417_0_417_1"
1,1,1800,1080,720,0,1,"417_1_417_0"
1,1,1080,1800,0,0,1,"417_0_417_1"
0,1,960,1560,420,0,1,"125_1_120_0"
1,0,1560,1500,300,0,1,"120_0_120_1"
1,1,1500,1080,540,0,1,"120_1_417_0"
1,1,1080,1800,0,0,1,"417_0_417_1"
1,1,1800,1080,420,0,1,"417_1_417_0"
1,1,1080,1800,0,0,1,"417_0_417_1"
1,1,1800,960,420,0,0,"417_1_417_0"
1,1,960,1740,0,0,0,"417_0_417_1"
1,1,960,1740,0,0,0,"417_0_417_1"
1,1,960,1740,0,0,0,"417_0_417_1"
1,1,960,1680,0,0,0,"417_0_417_1"
1,1,960,1620,0,0,0,"417_0_417_1"
1,1,900,1620,0,0,0,"417_0_417_1"
1,1,1620,1140,840,0,0,"417_1_75_0"
1,1,1380,2340,480,0,0,"120_1_421_0"
1,1,2340,2460,60,1,0,"421_0_421_1"
1,1,2460,2100,480,1,0,"421_1_76_0"
1,1,2100,1620,0,1,0,"76_0_76_1"
1,1,1140,1980,0,0,1,"417_0_417_1"
1,1,1980,2760,420,0,1,"417_1_421_0"
1,1,2760,2160,120,0,1,"421_0_421_1"
1,1,2160,1740,420,0,1,"421_1_13_0"
0,1,1740,1620,360,0,0,"13_0_13_1"
1,1,1620,1680,660,0,1,"428_0_428_1"
0,1,1680,2760,480,0,1,"428_1_199_0"
1,1,1680,2040,0,0,1,"19_0_19_1"
0,1,2040,1680,660,0,1,"19_1_20_0"
0,0,1680,2100,0,0,1,"20_0_20_1"
0,0,2100,1500,420,0,1,"20_1_19_0"
0,0,1500,1800,0,0,1,"19_0_19_1"
0,0,1800,1560,840,0,0,"19_1_428_0"
1,0,1560,1440,120,0,0,"428_0_428_1"
1,1,1440,1560,480,0,0,"428_1_428_0"
1,1,1560,1440,120,0,0,"428_0_428_1"
1,1,1440,1560,480,0,0,"428_1_428_0"
1,1,1560,1380,120,0,0,"428_0_428_1"
1,1,1380,1140,360,0,0,"428_1_71_0"
1,1,1140,1320,0,0,0,"71_0_71_1"
1,1,1320,1140,600,0,0,"71_1_75_0"
1,1,1140,1020,0,0,0,"75_0_75_1"
1,1,1020,1500,780,0,0,"75_1_73_0"
1,1,2400,1680,660,1,0,"160_1_42_0"
1,1,2460,900,600,1,0,"442_1_125_0"
1,1,1620,1740,840,1,0,"461_0_461_1"
1,1,1740,1620,420,1,0,"461_1_461_0"
1,1,1620,1620,300,1,0,"461_0_461_1"
1,1,1620,1740,480,1,0,"461_0_461_1"
1,1,2640,3180,120,1,0,"462_1_462_0"
1,1,1500,2640,600,0,0,"461_0_462_1"
1,1,2640,2760,120,1,0,"462_1_462_0"
1,1,2760,2940,420,1,0,"462_0_462_1"
1,1,2940,2700,120,1,0,"462_1_462_0"
1,1,2100,2880,0,0,0,"61_0_61_1"
1,1,2820,2640,120,1,0,"462_1_462_0"
1,1,2940,3120,120,1,0,"462_1_462_0"
1,1,2820,2880,120,0,0,"462_1_462_0"
1,1,3060,2640,120,0,1,"462_1_462_0"
0,1,3180,2880,120,0,1,"462_1_462_0"
1,1,3060,2640,120,0,1,"462_1_462_0"
1,1,1380,1620,360,0,0,"80_0_80_1"
1,1,1620,1980,420,1,0,"80_1_15_0"
1,1,1680,1620,360,0,0,"73_1_1_0"
1,1,1620,1680,0,0,0,"1_0_1_1"
1,1,1680,2280,720,1,0,"1_1_98_0"
1,1,1860,1920,360,0,0,"6_0_6_1"
1,1,1920,1800,300,0,0,"6_1_54_0"
1,1,1800,1740,300,0,0,"54_0_54_1"
1,1,1740,2040,420,0,0,"54_1_1_0"
1,1,2040,1980,0,0,0,"1_0_1_1"
1,1,1980,2100,600,0,1,"1_1_29_0"
1,1,2100,1920,0,0,1,"29_0_29_1"
1,1,1920,2040,660,0,1,"29_1_6_0"
1,1,2040,960,360,0,1,"6_0_31_0"
1,1,960,900,120,0,1,"31_0_31_1"
1,1,900,2700,300,0,0,"31_1_160_0"
1,1,2700,2280,300,0,0,"160_0_160_1"
1,1,1680,1620,0,0,0,"1_0_1_1"
1,1,1620,1680,300,0,0,"1_1_1_0"
1,1,1680,1620,0,0,0,"1_0_1_1"
1,1,1620,1620,300,0,0,"1_1_1_0"
1,1,1620,1620,0,0,0,"1_0_1_1"
1,1,1620,1620,360,0,0,"1_1_1_0"
1,1,1620,1620,0,0,0,"1_0_1_1"
1,1,1620,1500,360,0,0,"1_1_1_0"
1,1,1560,1380,420,0,0,"1_1_410_0"
1,1,1380,1740,0,1,0,"410_0_410_1"
1,1,1740,1260,480,1,0,"410_1_3_0"
0,1,1260,1980,0,1,0,"3_0_3_1"
0,1,1620,1800,0,0,1,"3_0_3_1"
1,0,1800,1020,420,0,1,"3_1_74_0"
0,1,1020,1740,0,0,1,"74_0_74_1"
1,0,1740,1320,600,0,1,"74_1_3_0"
1,1,1320,1680,0,0,0,"3_0_3_1"
1,1,1680,1200,600,0,0,"3_1_3_0"
1,1,1200,1620,0,0,0,"3_0_3_1"
1,1,1620,1200,780,0,0,"3_1_3_0"
1,1,1200,1620,0,0,0,"3_0_3_1"
1,1,1620,1860,420,0,0,"3_1_15_0"
1,1,1860,1800,540,0,0,"15_0_15_1"
1,0,1860,1620,480,0,0,"15_0_60_0"
1,1,1620,1200,540,0,0,"6_1_3_0"
1,1,1200,1620,0,0,0,"3_0_3_1"
1,1,1620,1200,780,0,0,"3_1_3_0"
1,1,1200,1620,0,0,0,"3_0_3_1"
1,1,1620,1860,420,0,0,"3_1_15_0"
1,1,720,1140,0,0,0,"49_0_49_1"
1,1,3540,2340,480,0,0,"4_0_421_0"
1,1,1800,3540,420,0,0,"132_1_4_0"
1,1,3540,1860,540,1,0,"4_0_20_0"
1,1,1860,2280,0,1,0,"20_0_20_1"
1,1,2280,3840,420,1,0,"20_1_4_1"
1,1,3840,1560,480,1,0,"4_1_38_0"
1,1,1560,780,600,0,0,"38_0_46_0"
1,1,780,1320,0,0,0,"46_0_46_1"
1,1,2160,3360,540,0,0,"4_0_4_1"
1,1,3360,2220,360,1,0,"4_1_32_0"
1,1,2220,2640,300,1,0,"32_0_32_1"
1,1,1560,1680,480,0,0,"38_0_47_0"
1,1,1680,1620,300,0,0,"47_0_47_1"
0,1,1620,780,600,0,0,"47_1_49_0"
0,0,780,1260,0,0,0,"49_0_49_1"
1,0,1260,1500,420,0,0,"49_1_42_0"
1,1,1500,1500,420,0,0,"42_0_42_1"
1,1,3360,3540,360,1,0,"4_1_4_0"
1,1,3540,1500,480,1,0,"4_0_80_0"
1,1,1500,1620,120,1,0,"80_0_80_1"
1,1,1620,1740,360,1,0,"80_1_54_0"
1,1,1740,780,780,0,0,"54_0_49_0"
1,1,780,1200,0,0,0,"49_0_49_1"
1,1,1200,1800,540,0,0,"49_1_43_1"
1,1,1800,1860,600,0,0,"43_1_41_1"
1,1,3540,3840,420,1,0,"4_0_4_1"
1,1,3840,3480,840,1,0,"4_1_4_0"
1,1,3480,1620,480,1,0,"4_0_13_0"
1,1,1620,1560,300,0,0,"13_0_5_0"
1,1,1560,1980,0,0,0,"5_0_5_1"
1,1,1920,2460,420,1,0,"132_0_132_1"
1,1,2460,1920,300,1,0,"132_1_132_0"
1,1,1920,2040,120,1,0,"132_0_132_1"
1,1,2040,3480,300,1,0,"132_1_4_0"
1,1,3480,1920,840,0,0,"4_0_76_0"
1,1,1920,1560,0,0,0,"76_0_76_1"
1,1,3660,1920,720,0,0,"4_1_132_0"
1,1,1920,1980,120,0,0,"132_0_132_1"
1,1,1980,3480,780,0,0,"132_1_4_0"
1,1,3480,3900,540,0,0,"4_0_4_1"
1,1,3900,1680,300,0,0,"4_1_47_1"
1,1,1680,1920,600,0,1,"47_1_47_0"
1,1,1920,1740,420,0,1,"47_0_47_1"
1,1,1740,1860,420,0,1,"47_1_47_0"
0,1,1860,1620,360,1,0,"60_1_42_0"
0,0,1620,1680,120,1,0,"42_0_42_1"
1,0,1680,1920,660,1,0,"42_1_13_1"
1,1,1920,3660,360,0,0,"13_1_4_1"
1,1,1740,1920,120,0,0,"32_0_32_1"
1,1,3480,3060,480,0,0,"4_0_21_0"
1,1,3060,3000,120,0,0,"21_0_21_1"
1,1,3000,3900,480,0,0,"21_1_4_1"
1,1,2520,3600,420,0,1,"14_1_88_0"
1,1,1620,1680,420,0,0,"13_0_13_1"
1,1,1680,3900,720,0,0,"13_1_4_1"
1,1,1800,1740,300,0,0,"54_0_54_1"
1,1,3900,1740,720,0,0,"4_1_32_0"
1,1,1740,1980,120,0,0,"32_0_32_1"
1,1,1980,3660,780,0,0,"32_1_4_0"
1,1,4260,2220,420,0,1,"4_1_132_0"
1,1,2220,1980,120,0,1,"132_0_132_1"
1,1,1824,2340,480,0,0,"132_1_32_0"
1,1,2340,2460,240,0,1,"32_0_32_1"
1,1,2460,2340,660,0,1,"32_1_192_0"
1,1,2220,1440,480,0,1,"98_1_80_0"
1,1,1440,1440,0,0,0,"80_0_80_1"
1,1,1440,1440,720,0,0,"80_1_80_0"
1,1,1440,1440,0,0,0,"80_0_80_1"
1,1,1440,3420,540,0,0,"80_1_4_1"
1,1,3420,3000,840,0,0,"4_1_4_0"
1,1,3000,1500,300,0,0,"4_0_13_0"
1,0,4380,2220,300,0,1,"4_1_132_0"
1,1,2220,1980,120,0,1,"132_0_132_1"
1,1,1980,3720,300,0,1,"32_1_4_0"
0,1,3720,3360,660,0,1,"4_0_8_0"
0,1,3720,1860,420,0,1,"4_0_13_0"
1,0,1860,1740,720,0,1,"13_0_13_1"
1,1,1740,2040,540,0,1,"13_1_15_0"
0,1,2040,1920,360,0,0,"15_0_15_1"
0,0,1920,1620,360,0,0,"15_1_13_0"
1,0,1620,1620,360,0,0,"13_0_13_1"
1,1,1620,1620,300,0,0,"13_1_6_0"
1,1,1620,1620,420,0,0,"6_0_47_0"
1,1,1620,1500,300,0,0,"47_0_47_1"
1,1,1500,1500,360,0,0,"47_1_6_1"
1,0,960,1740,0,0,0,"5_0_5_1"
1,1,1740,1620,840,0,0,"5_1_6_1"
0,1,1620,1680,660,0,0,"6_1_120_0"
1,0,1680,1380,300,1,0,"120_0_120_1"
1,1,1740,1440,720,0,0,"5_1_5_0"
1,1,1440,1860,0,1,0,"5_0_5_1"
1,1,1860,1620,360,1,0,"5_1_50_0"
1,1,1620,2040,0,1,0,"50_0_50_1"
0,1,1620,720,480,1,0,"47_1_49_0"
0,0,720,1080,0,1,0,"49_0_49_1"
0,0,1080,2160,360,1,0,"49_1_15_1"
1,0,2100,1560,480,1,0,"5_1_5_0"
1,1,1560,1980,0,0,0,"5_0_5_1"
1,1,1980,540,840,0,0,"5_1_44_0"
1,1,540,1140,0,0,0,"44_0_44_1"
1,1,1140,840,360,0,0,"44_1_31_0"
1,1,840,840,120,0,0,"31_0_31_1"
1,1,1800,1500,300,0,0,"5_1_5_0"
0,1,1500,2160,0,1,0,"5_0_5_1"
1,0,2160,1020,840,1,0,"5_1_31_0"
1,1,1020,960,120,1,0,"31_0_31_1"
1,1,1560,1380,360,0,0,"42_1_42_0"
1,1,1380,1680,420,1,0,"42_0_42_1"
0,1,1680,1500,300,1,0,"42_1_5_0"
1,0,1500,2160,0,1,0,"5_0_5_1"
0,1,2160,1560,480,1,0,"5_1_5_0"
0,0,1560,1980,0,1,0,"5_0_5_1"
1,1,1740,1800,300,0,0,"54_1_29_0"
1,1,1800,1740,0,0,0,"29_0_29_1"
1,1,1440,1500,360,1,0,"34_1_5_0"
1,1,1500,2160,0,1,0,"5_0_5_1"
1,1,2160,1680,300,1,0,"5_1_38_1"
1,1,2580,1620,600,1,0,"14_1_13_0"
1,1,1620,1560,300,0,0,"13_0_5_0"
1,1,1560,1980,0,0,0,"5_0_5_1"
1,1,2160,1560,480,1,0,"5_1_5_0"
1,1,1560,2100,0,1,0,"5_0_5_1"
1,1,1680,1620,300,0,0,"47_0_47_1"
0,1,1620,1560,420,0,0,"47_1_5_0"
1,0,1560,1980,0,0,0,"5_0_5_1"
1,1,1500,1500,420,0,0,"42_0_42_1"
1,1,1500,960,360,0,0,"42_1_31_0"
1,1,960,900,120,0,0,"31_0_31_1"
1,1,1860,1680,420,0,0,"43_1_47_0"
1,1,1680,1620,300,0,0,"47_0_47_1"
0,1,1620,1620,420,0,0,"47_1_5_0"
1,0,1620,1980,0,0,0,"5_0_5_1"
1,1,1920,1680,360,0,0,"43_1_38_1"
1,1,1680,1740,300,0,0,"38_1_38_0"
1,1,1740,1860,480,0,1,"38_0_5_0"
1,1,1860,2100,0,0,1,"5_0_5_1"
1,1,2100,1740,480,0,1,"5_1_38_1"
1,1,1740,2280,660,0,1,"38_1_32_0"
1,1,2280,2400,240,0,1,"32_0_32_1"
1,1,1740,360,0,0,0,"5_0_5_1"
0,1,2100,1800,120,0,1,"60_0_60_1"
0,0,1800,1860,480,0,1,"60_1_5_0"
0,0,1860,1860,0,0,1,"5_0_5_1"
1,1,960,900,120,0,1,"31_0_31_1"
1,1,900,2040,300,0,1,"31_1_41_1"
0,1,2040,600,360,0,1,"41_1_44_0"
0,0,600,1140,0,0,1,"44_0_44_1"
1,0,1140,1740,360,0,1,"44_1_5_0"
1,1,1740,360,0,0,1,"5_0_5_1"
1,1,1500,1800,0,0,0,"5_0_5_1"
1,1,1800,1500,300,0,0,"5_1_5_0"
1,1,1500,1800,0,0,0,"5_0_5_1"
1,1,1800,1500,300,0,0,"5_1_5_0"
1,1,1500,2040,480,0,0,"38_1_14_1"
1,1,2040,1500,840,0,0,"14_1_6_0"
1,1,1500,1920,300,1,0,"6_0_6_1"
1,1,2100,1860,300,1,0,"5_1_6_1"
1,1,1200,1680,0,0,0,"3_0_3_1"
1,1,2220,1920,420,1,0,"85_1_6_0"
1,1,1920,1860,300,1,0,"6_0_6_1"
1,1,1860,1740,780,1,0,"6_1_13_0"
1,1,1740,1680,300,1,0,"13_0_13_1"
1,1,1680,3660,600,0,0,"13_1_4_1"
0,1,1080,1740,480,1,0,"44_1_13_1"
0,0,1740,1740,600,1,0,"13_1_6_0"
1,0,1740,1920,480,1,0,"6_0_6_1"
1,1,1860,1920,720,0,0,"6_1_76_0"
1,1,1920,1560,0,0,0,"76_0_76_1"
1,1,1560,1860,420,0,0,"76_1_1_0"
1,1,1860,1800,0,0,0,"1_0_1_1"
1,1,1800,1980,660,0,0,"1_1_15_0"
1,1,1980,1740,360,0,0,"15_0_47_0"
1,1,1740,2340,480,0,1,"38_1_14_1"
0,1,2340,2160,420,0,1,"14_1_6_0"
0,0,2160,1860,540,0,1,"6_0_5_0"
1,0,1860,1860,0,0,1,"5_0_5_1"
1,1,2040,1680,0,0,0,"76_0_76_1"
1,1,1680,2040,420,0,1,"76_1_6_0"
1,1,2040,1980,480,0,1,"6_0_43_1"
1,1,1980,1800,420,0,1,"43_1_13_1"
1,1,1800,1920,540,0,1,"13_1_6_0"
1,1,1560,3060,660,0,0,"1_1_8_0"
1,1,3060,3180,300,0,0,"8_0_8_1"
1,1,3180,1920,480,1,0,"8_1_20_0"
0,1,1920,2100,0,1,0,"20_0_20_1"
1,1,2400,3420,420,0,0,"8_1_8_0"
1,1,3420,3480,300,1,0,"8_0_8_1"
1,1,3480,1860,420,1,0,"8_1_1_0"
1,1,1860,1860,0,1,0,"1_0_1_1"
1,1,1860,1800,360,1,0,"1_1_29_0"
1,1,1800,1740,0,0,0,"29_0_29_1"
1,1,1740,1200,480,0,0,"29_1_410_0"
1,1,1200,1740,0,0,0,"410_0_410_1"
1,1,1740,1800,420,0,0,"410_1_1_0"
1,1,1800,1800,0,0,0,"1_0_1_1"
0,1,1800,3480,420,0,0,"1_1_8_0"
1,0,3480,3240,300,0,0,"8_0_8_1"
1,1,3900,3900,360,0,0,"8_0_8_1"
1,1,3900,3420,420,0,1,"8_1_88_0"
1,1,960,1800,0,0,0,"5_0_5_1"
1,1,1800,1560,300,0,0,"5_1_38_1"
1,1,1560,3540,360,1,0,"38_1_4_0"
1,1,3060,3060,420,1,0,"83_1_88_0"
1,1,3060,3120,780,0,0,"88_0_88_1"
1,1,3120,3480,720,0,0,"88_1_8_0"
1,1,3480,3240,300,0,0,"8_0_8_1"
1,1,3480,3540,300,0,0,"8_0_8_1"
0,1,3540,3840,480,0,0,"8_1_88_0"
1,0,2340,1920,480,0,1,"28_0_28_1"
1,1,1920,3180,480,0,0,"28_1_8_0"
1,1,3180,3000,540,0,0,"8_0_8_1"
1,1,3000,2880,480,0,0,"8_1_8_0"
1,1,1680,1680,300,0,0,"59_1_47_0"
1,1,1680,1680,600,1,0,"47_0_47_1"
1,1,1680,1740,360,1,0,"47_1_54_1"
1,1,1740,1860,360,1,0,"54_0_54_1"
1,1,1860,1800,420,1,0,"54_1_1_0"
1,1,1800,1800,0,0,0,"1_0_1_1"
1,1,1800,3420,420,0,0,"1_1_8_0"
1,1,3420,3240,300,0,0,"8_0_8_1"
1,1,3000,1200,420,1,0,"88_1_71_0"
1,1,1200,1620,0,1,0,"71_0_71_1"
0,1,1620,1680,420,1,0,"71_1_73_0"
0,0,1680,1860,120,1,0,"73_0_73_1"
1,0,1860,540,360,1,0,"73_1_554_0"
1,1,1500,1440,120,0,0,"428_0_428_1"
1,1,1440,1500,540,0,0,"428_1_428_0"
1,1,1500,1440,120,0,0,"428_0_428_1"
0,1,1440,1500,540,0,0,"428_1_428_0"
1,0,1500,1440,120,0,0,"428_0_428_1"
1,1,1440,3060,300,0,0,"428_1_21_0"
1,1,3060,3000,120,0,0,"21_0_21_1"
1,1,3000,1800,300,0,0,"21_1_16_0"
1,1,1800,1740,0,0,0,"16_0_16_1"
1,1,1740,2040,360,0,0,"16_1_16_0"
1,1,2040,1920,0,0,0,"16_0_16_1"
1,1,1920,1920,420,0,1,"16_1_73_0"
1,1,1920,1740,120,0,1,"73_0_73_1"
1,1,1740,1560,480,0,1,"73_1_19_0"
1,1,1560,1800,0,0,1,"19_0_19_1"
1,1,3180,3180,360,0,0,"8_0_8_1"
1,1,3180,2880,300,0,0,"8_1_8_0"
1,1,2460,2520,720,0,0,"88_1_88_0"
0,1,3000,2280,600,1,0,"88_1_28_0"
0,0,2280,2280,180,1,0,"28_0_28_1"
1,0,2280,3420,480,1,0,"28_1_8_0"
1,1,3420,3120,300,0,0,"8_0_8_1"
1,1,3120,3240,780,0,0,"8_1_88_0"
1,1,3240,3120,600,0,0,"88_0_88_1"
1,1,3120,3600,720,0,0,"88_1_8_0"
1,1,3720,3840,480,0,0,"8_1_8_0"
1,1,3840,3720,420,0,1,"8_0_8_1"
1,1,3720,3180,420,0,1,"8_1_8_0"
1,1,3480,2100,420,1,0,"8_1_28_0"
1,1,3480,3540,300,0,0,"8_0_8_1"
1,1,3540,3900,780,0,0,"8_1_8_0"
1,1,3900,3720,300,0,0,"8_0_8_1"
0,1,3720,3360,540,0,1,"8_1_8_0"
1,0,3360,3180,480,0,1,"8_0_8_1"
1,1,2640,2880,540,0,0,"88_1_88_0"
1,1,2460,2880,720,0,0,"88_1_88_0"
1,1,3840,3720,420,0,1,"8_0_8_1"
1,1,3720,2220,420,0,1,"8_1_28_0"
1,1,2580,1980,780,0,0,"8_1_8_0"
1,1,1920,1140,540,1,0,"9_1_9_0"
1,1,1140,2220,0,1,0,"9_0_9_1"
1,1,2220,540,420,1,0,"9_1_84_0"
1,1,540,2820,0,1,0,"84_0_84_1"
1,1,1860,1200,480,1,0,"73_1_9_0"
0,1,1200,2220,0,1,0,"9_0_9_1"
0,1,2160,1860,300,1,0,"5_1_13_1"
1,0,1860,1740,720,1,0,"13_1_13_0"
0,1,1620,1680,300,1,0,"13_0_42_0"
0,1,1680,1920,360,1,0,"42_1_13_1"
1,1,1860,1740,0,1,0,"29_0_29_1"
1,1,1740,1740,720,1,0,"29_1_6_0"
1,1,1740,1860,480,0,0,"6_0_6_1"
1,1,1860,1620,780,0,0,"6_1_13_0"
1,1,1620,1560,300,0,0,"13_0_5_0"
1,1,1560,1980,0,0,0,"5_0_5_1"
1,1,1860,1020,540,1,0,"13_1_74_0"
1,1,1020,1800,0,1,0,"74_0_74_1"
1,1,1800,1260,720,1,0,"74_1_3_0"
0,1,1260,1800,0,1,0,"3_0_3_1"
1,0,1800,1260,540,0,0,"3_1_3_0"
1,1,1260,1800,0,0,0,"3_0_3_1"
1,1,1800,1800,0,0,0,"1_0_1_1"
1,1,1800,1740,480,0,0,"1_1_73_0"
1,1,1740,1740,120,0,0,"73_0_73_1"
1,1,1680,1740,360,0,0,"13_0_13_1"
1,1,1740,2580,420,0,0,"13_1_421_0"
1,1,2580,2340,60,0,0,"421_0_421_1"
1,1,2340,1980,420,0,0,"421_1_13_0"
1,1,1980,1860,300,0,1,"13_0_13_1"
1,1,1860,1140,420,0,1,"13_1_74_0"
1,1,1140,1740,0,0,1,"74_0_74_1"
0,1,1740,1140,480,0,1,"74_1_75_0"
1,0,1140,1020,0,0,1,"75_0_75_1"
1,1,1020,1800,300,0,0,"75_1_1_0"
1,1,1800,1620,0,0,0,"1_0_1_1"
1,1,1620,1740,660,0,0,"1_1_73_0"
1,1,1740,1500,120,0,0,"73_0_73_1"
1,1,2760,3420,420,0,0,"8_1_4_1"
1,1,3420,1560,540,0,0,"4_1_32_0"
1,1,1560,1680,120,0,0,"32_0_32_1"
1,1,1680,1200,540,0,0,"32_1_4_0"
1,0,2220,1380,660,0,1,"13_0_37_0"
1,1,2520,1740,420,0,0,"21_1_15_0"
1,1,1740,2040,660,1,0,"15_0_15_1"
0,1,2040,2280,420,1,0,"15_1_14_0"
0,0,2280,2580,360,1,0,"14_0_14_1"
1,1,1920,1560,0,0,0,"76_0_76_1"
1,1,1560,1740,720,0,0,"76_1_6_0"
1,1,2160,2220,600,1,0,"14_1_14_0"
0,1,2220,2580,420,1,0,"14_0_14_1"
0,0,2580,2400,600,1,0,"14_1_14_0"
1,0,2400,1680,300,1,0,"14_0_32_0"
1,1,1680,1920,120,0,0,"32_0_32_1"
1,1,2880,2220,360,0,1,"14_0_132_0"
1,1,2640,2280,660,0,1,"14_0_14_1"
1,1,2280,1740,840,0,1,"14_1_54_0"
1,1,1740,1740,420,0,0,"15_1_15_0"
1,1,1740,780,360,0,0,"15_0_31_0"
1,1,780,960,120,1,0,"31_0_31_1"
1,1,960,1800,300,1,0,"31_1_41_1"
1,1,1800,2160,540,1,0,"41_1_15_1"
1,1,960,1860,0,0,0,"5_0_5_1"
1,1,1860,1680,300,1,0,"5_1_47_0"
1,1,1680,1680,480,1,0,"47_0_47_1"
1,1,1620,2460,780,1,0,"38_1_14_1"
1,1,2460,1980,420,1,0,"14_1_15_0"
1,1,1980,1980,420,0,0,"15_0_15_1"
1,1,1980,2160,540,1,0,"15_0_15_1"
0,1,2160,1920,420,1,0,"15_1_6_0"
1,0,1920,1800,360,1,0,"6_0_43_1"
1,1,2160,2160,720,1,0,"5_1_15_1"
0,1,2160,2100,840,1,0,"15_1_15_0"
1,0,2100,1980,300,0,0,"15_0_15_1"
1,1,1980,540,840,0,0,"15_1_84_0"
1,1,540,2820,0,0,0,"84_0_84_1"
1,1,2820,1980,420,0,0,"84_1_15_0"
1,1,1980,2040,420,0,0,"15_0_15_1"
1,1,1980,2040,420,0,0,"15_0_15_1"
1,1,2040,2400,360,0,0,"15_1_14_0"
1,1,2400,2520,300,0,0,"14_0_14_1"
1,1,2520,2640,720,0,0,"14_1_14_0"
1,1,2640,2340,420,0,1,"14_0_14_1"
1,1,2340,1380,420,0,1,"14_1_3_0"
1,1,1380,480,0,0,1,"3_0_3_1"
1,1,1980,2040,420,0,0,"15_0_15_1"
1,1,2040,2040,540,0,0,"15_1_6_0"
1,1,2040,1560,420,0,0,"6_0_30_1"
0,1,1560,1560,300,0,1,"30_1_30_1"
1,1,1740,1500,300,0,0,"19_1_20_0"
1,1,1500,2160,0,0,0,"20_0_20_1"
1,1,2160,3840,420,0,0,"20_1_123_0"
1,1,3840,3780,240,1,0,"123_0_123_1"
1,1,3780,1260,540,1,0,"123_1_71_0"
1,1,1260,1440,0,1,0,"71_0_71_1"
1,1,1440,1380,360,0,0,"71_1_19_0"
1,1,1380,1860,0,0,0,"19_0_19_1"
1,1,1860,1380,360,0,0,"19_1_19_0"
1,1,1380,1860,0,0,0,"19_0_19_1"
1,1,2340,2220,480,0,0,"32_1_32_0"
1,1,2220,2820,360,1,0,"32_0_32_1"
1,1,2820,1920,300,1,0,"32_1_132_0"
1,1,1920,2220,120,1,0,"132_0_132_1"
1,1,2220,1920,360,1,0,"132_1_132_0"
1,1,1920,1980,120,0,0,"132_0_132_1"
1,1,1980,3480,420,0,0,"132_1_4_0"
1,1,3480,1380,360,0,0,"4_0_19_0"
1,1,1380,1860,0,0,0,"19_0_19_1"
1,1,1860,1380,360,0,0,"19_1_19_0"
1,1,1380,1860,0,0,0,"19_0_19_1"
1,1,1860,1380,360,0,0,"19_1_19_0"
1,1,1380,1860,0,0,0,"19_0_19_1"
1,1,1860,1500,360,0,0,"19_1_19_0"
1,1,1500,1980,0,0,0,"19_0_19_1"
